PLAZACNTR,20140616,0.59,0.59,0.57,0.59,183999
POLICE,20140616,24.71,24.71,24.02,24.50,3596
POLMED,20140616,2.29,2.29,2.29,2.29,10
POLNA,20140616,23.72,25.39,23.30,24.15,1183
POLNORD,20140616,9.10,9.15,9.00,9.12,37340
POZBUD,20140616,5.13,5.13,4.91,5.12,1583
PRAGMAFA,20140616,15.95,16.10,15.95,15.95,167
PRAGMAINK,20140616,17.61,17.85,17.61,17.85,300
PRESCO,20140616,4.64,4.64,4.45,4.62,422
PROCAD,20140616,1.17,1.17,1.16,1.16,32
PROCHEM,20140616,23.10,23.10,23.10,23.10,2
PROJPRZEM,20140616,7.85,8.00,7.85,8.00,320
PROTEKTOR,20140616,3.51,3.51,3.38,3.38,24154
PROVIDENT,20140616,32.50,32.50,32.50,32.50,1
PTI,20140616,17.40,17.40,17.40,17.40,2200
PULAWY,20140616,145.35,147.00,145.00,146.50,915
PWRMEDIA,20140616,1.46,1.46,1.46,1.46,880
PZU,20140616,454.00,454.85,447.30,450.50,347626
QUANTUM,20140616,4.19,4.19,4.19,4.19,424
QUERCUS,20140616,6.85,6.93,6.70,6.93,14709
QUMAK,20140616,13.20,13.50,13.00,13.11,2091
RADPOL,20140616,10.95,10.95,10.80,10.80,274
RAFAKO,20140616,4.54,4.54,4.39,4.42,116307
RAFAMET,20140616,14.85,14.85,14.85,14.85,90
RAINBOW,20140616,16.10,16.50,15.31,16.50,2179
RANKPROGR,20140616,5.55,5.55,5.49,5.51,11117
RAWLPLUG,20140616,10.80,10.80,10.48,10.61,3275
RCCOFAOPEN,20140616,3.56,3.56,3.56,3.56,290
RCGBSH11217,20140616,1009.68,1009.68,1009.68,1009.68,5
RCGLDAOPEN,20140616,393.93,393.93,391.57,392.35,114
RCLNAGOPEN,20140616,11.53,11.53,11.53,11.53,80
RCSCRAOPEN,20140616,127.98,127.98,127.98,127.98,37
RCSILAOPEN,20140616,60.41,60.53,60.31,60.31,1452
RCTVBAOPEN,20140616,39.48,39.48,39.48,39.48,100
RCWHTAOPEN,20140616,8.48,8.48,8.48,8.48,100
REDAN,20140616,1.96,1.99,1.94,1.97,33913
REDWOOD,20140616,0.74,0.74,0.72,0.74,2612
REINHOLD,20140616,0.59,0.59,0.55,0.59,2055
RELPOL,20140616,7.34,7.43,7.24,7.43,6267
RESBUD,20140616,7.80,7.80,7.54,7.70,2359
ROBYG,20140616,2.35,2.36,2.34,2.35,55144
RONSON,20140616,1.49,1.49,1.45,1.47,4270
ROPCZYCE,20140616,25.32,26.45,25.31,26.40,2806
ROVESE,20140616,1.39,1.40,1.37,1.39,250708
SANOK,20140616,41.52,41.52,40.70,40.70,1468
SCOPAK,20140616,0.95,1.02,0.95,1.00,53658
SECOGROUP,20140616,24.00,26.70,24.00,26.70,1646
SEKO,20140616,8.00,8.00,8.00,8.00,100
SELENAFM,20140616,21.55,21.55,20.62,21.55,15
SERINUS,20140616,8.21,8.21,7.88,8.12,92959
SFINKS,20140616,1.68,1.68,1.64,1.65,46155
SILVANO,20140616,7.96,8.00,7.80,8.00,30370
SIMPLE,20140616,9.03,9.05,9.02,9.05,650
SKOK,20140616,2.37,2.37,2.37,2.37,75
SKOTAN,20140616,1.70,1.70,1.66,1.68,106195
SKYLINE,20140616,1.18,1.18,0.97,1.08,8709
SMT,20140616,19.00,19.35,19.00,19.35,53
SNIEZKA,20140616,37.85,38.44,37.00,37.56,2965
SOBIESKI,20140616,36.55,36.55,36.10,36.10,325
SOLAR,20140616,2.70,2.80,2.70,2.80,1005
SONEL,20140616,7.70,7.70,7.70,7.70,25
